respondent_id,completion_time_seconds,q01_original_q02_rules_understanding,q02_original_q02_task_engagement,q03_original_q02_non_target_ball_attention,q04_original_q02_ball_size_attention,q05_original_q03_harder_condition,q06_original_q04_response_strategy,q07_original_q13_gravity_understanding,q08_original_q14_zero_gravity_understanding,q09_original_q15_judgment_basis,q10_original_q16_perceived_motion,q11_original_q17_post_confidence_adjustment,q12_original_q18_confidence_seriousness
P072,120,Strongly matches,Strongly matches,Somewhat matches,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,I did not clearly perceive different motion rules between the two conditions,Rarely,Often
P073,4591,Neutral,Strongly matches,Neutral,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Whether post-collision motion remained approximately constant-speed,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P074,5073,Somewhat matches,Strongly matches,Somewhat does not match,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,I thought the balls in both conditions were affected by gravity,Sometimes,Often
P075,257,Somewhat matches,Somewhat matches,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P076,236,Strongly matches,Strongly matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P077,4829,Neutral,Somewhat matches,Somewhat does not match,Strongly matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P078,4582,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P079,69740,Neutral,Somewhat matches,Somewhat does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P080,272,Strongly matches,Strongly matches,Strongly matches,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P081,545,Neutral,Neutral,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Downward gravity or acceleration|Whether post-collision motion remained approximately constant-speed,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P082,178,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P083,242,Strongly matches,Strongly matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P084,5153,Somewhat matches,Somewhat matches,Somewhat does not match,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P085,3111,Somewhat matches,Neutral,Somewhat does not match,Strongly does not match,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P086,5017,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Candidate landing positions and distance|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P087,296,Neutral,Somewhat matches,Somewhat does not match,Strongly does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Intuition or guess,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Sometimes
P088,442,Neutral,Somewhat matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Relationship between the two ball sizes|Patterns or experience from previous trials,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Almost every time
P089,85,Strongly matches,Strongly matches,Strongly matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision under zero or microgravity; downward gravity need not be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,I thought the balls in both conditions were affected by gravity,Sometimes,Often
P090,309,Somewhat does not match,Neutral,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Whether post-collision motion remained approximately constant-speed|Intuition or guess,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Never,Rarely
P091,515,Strongly does not match,Strongly matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P092,280,Neutral,Somewhat matches,Neutral,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P093,5542,Strongly matches,Strongly matches,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P094,5205,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Patterns or experience from previous trials|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P095,5025,Neutral,Somewhat matches,Strongly does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P096,4589,Somewhat matches,Somewhat matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P097,5320,Neutral,Neutral,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,I thought the balls in both conditions were affected by gravity,Sometimes,Often
P098,322,Neutral,Neutral,Somewhat does not match,Somewhat does not match,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Sometimes
P099,326,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Rarely,Often
P100,207,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Sometimes
P101,204,Strongly matches,Strongly matches,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision under zero or microgravity; downward gravity need not be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P102,276,Strongly matches,Strongly matches,Strongly matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P103,267,Somewhat matches,Somewhat matches,Neutral,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P104,4552,Strongly matches,Strongly matches,Neutral,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Never,Almost every time
P105,2326,Strongly does not match,Somewhat does not match,Strongly does not match,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision under zero or microgravity; downward gravity need not be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Relationship between the two ball sizes|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Often
P106,352,Somewhat matches,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Almost every time
P107,349,Neutral,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Relationship between the two ball sizes|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P108,4378,Strongly matches,Strongly matches,Strongly does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P109,6340,Neutral,Strongly matches,Strongly does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision under zero or microgravity; downward gravity need not be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Relationship between the two ball sizes,I did not clearly perceive different motion rules between the two conditions,Sometimes,Often
P110,2963,Somewhat does not match,Neutral,Strongly does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P111,4934,Strongly matches,Somewhat matches,Somewhat does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P112,268,Strongly matches,Somewhat matches,Somewhat does not match,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Downward gravity or acceleration|Post-collision motion trend|Patterns or experience from previous trials,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P113,820,Strongly matches,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P114,5546,Neutral,Somewhat matches,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P115,2700,Strongly matches,Strongly matches,Neutral,Strongly matches,Gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards","2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Almost every time
P116,5209,Somewhat does not match,Neutral,Strongly matches,Neutral,Zero gravity,Answer quickly but risk errors,Abstract motion unrelated to a physical scene,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Rarely,Rarely
P117,4104,Strongly matches,Strongly matches,Somewhat does not match,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Patterns or experience from previous trials,I did not clearly perceive different motion rules between the two conditions,Never,Often
P118,263,Somewhat matches,Somewhat matches,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Almost every time
P119,537,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P120,6859,Neutral,Strongly matches,Strongly matches,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,I thought the balls in both conditions were affected by gravity,Sometimes,Often
P121,4249,Strongly matches,Strongly matches,Strongly does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P122,8840,Strongly does not match,Somewhat matches,Somewhat matches,Strongly does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P123,317,Strongly matches,Somewhat matches,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Whether post-collision motion remained approximately constant-speed|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Rarely
P124,2417,Strongly matches,Neutral,Strongly matches,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Often
P125,5998,Neutral,Neutral,Somewhat matches,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P126,463,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Relationship between the two ball sizes|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Rarely
P127,4142,Somewhat matches,Somewhat matches,Strongly does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P128,279,Somewhat matches,Somewhat matches,Somewhat matches,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P129,206,Neutral,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P130,5456,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P131,154,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P132,3252,Somewhat matches,Somewhat matches,Strongly does not match,Strongly matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Almost every time,Almost every time
P133,333,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Sometimes
P134,335,Neutral,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P135,106,Somewhat matches,Somewhat does not match,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Sometimes
P136,371,Somewhat matches,Strongly matches,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Almost every time
P137,7361,Neutral,Somewhat matches,Somewhat does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P138,3382,Somewhat matches,Somewhat matches,Somewhat matches,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P139,376,Somewhat matches,Neutral,Neutral,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Sometimes
P140,9447,Somewhat does not match,Somewhat does not match,Strongly does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards","2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Almost every time
P141,5359,Somewhat matches,Strongly matches,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards","2D plane motion after collision, like billiards",Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,I did not clearly perceive different motion rules between the two conditions,Sometimes,Often
P142,4094,Strongly matches,Strongly matches,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P143,3647,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,"2D plane motion after collision, like billiards",Pre-collision direction and speed|Downward gravity or acceleration|Candidate landing positions and distance,I did not clearly perceive different motion rules between the two conditions,Rarely,Often
P144,300,Somewhat does not match,Somewhat matches,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",Abstract motion unrelated to a physical scene,Post-collision motion trend|Relationship between the two ball sizes|Patterns or experience from previous trials,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Often,Often
